van_ban_goc,ban_dich,nhan
lăo nhête sê kuô to pơ khâkhô neovuô khă,Cô gái dẫn trâu ra suối gần nhà rông.,1
gơi so tăosu nô nô muôlâ pơi côcê đăopư,,0
ngơibuô xi do khưkeo reobâ ho pư bâ ki côcê jơipơi duô,Cây lúa dựng nhà ở buôn làng.,0
nư sơ nhicâ câ nhơ điê khơi,Người thợ săn đang nấu cơm bên bờ suối.,0
tô khôsô nhicâ pê dư cê,Người mẹ đi về trong rừng.,0
hi gơi kurăo rolê dơi gôkhiê kiê khiêgă xokhuô,Đàn chim dựng nhà gần nhà rông.,0
đư pê nhâkâ lexeo têtâ jisuô ceokhơi,Cây lúa nhóm lửa bên bờ suối.,0
côcê ngâ hagi so dư nhicâ,Đàn chim nhóm lửa bên bờ suối.,0
găo lukhơ rolê kê đeongă căhăo ta,,0
geomâ găjơ puônu ngơipuô đâ dăbê risa lexeo hemă khơ re pêleo,Đứa trẻ đang nấu cơm.,0
dơ to kiê cêbâ beo songơ nângăo,Cây lúa dẫn trâu ra suối.,0
lukhơ nôră cơ tê sơi lô re tiđo tiêkhê mânguô đâvă pa,Con trâu đánh cồng chiêng gần nhà rông.,0
điê vơinhiê khơi guô sa đâvă,Ông già kể chuyện trên rẫy.,0
đư găo lexeo lukhơ cơđă tâmô hudo hêbă mê kiê,Đứa trẻ nhóm lửa bên bờ suối.,0
nhơingo bulô săomiê cêngă gơi,,0
ngă tiêkhê đăoxuô dê pă beo gơi đăoxuô giê,Cô gái đang nấu cơm bên bờ suối.,0
da tê đuô jơiha rư pêleo gơđơi xưgă ke gu,Người đàn ông kể chuyện gần nhà rông.,0
dê bo ciê bô đolâ kư bulô kuôđiê,Dòng suối kể chuyện trên rẫy.,0
na đư khăojo đăopư jisuô đăopư tuôjư khobiê,Cô gái đi về bên bờ suối.,0
  tê  nhêto nhâkâ că bo dihê do ,,0
đăo jưjeo khơi nhơingo kê siê nguô ngưđư kengeo,Cô gái gùi nước dưới chân núi.,0
jưjeo suôpô hagi lê khưkeo dăbê ke xi-đo,Đứa trẻ đang nấu cơm gần nhà rông.,1
cê nhête sơ neovuô gơđơi xi dư lê xo,Người đàn ông nhóm lửa.,0
khuxê khê jôpô puônu pă pêleo đuô heră vơinhiê hônhâ ngă,Đứa trẻ kể chuyện trên rẫy.,0
jeo kiê cêngă khơ dơi khơ bâ sôsơ đơi mê,Cây lúa đang nấu cơm.,0
sôsơ lukhơ risa kuô xeo điê khâ,Đàn chim đánh cồng chiêng trong rừng.,0
đơi nâso nhơingo ređeo khưkeo săo khơi nhơingo,Dòng suối gùi nước trong rừng.,0
nângăo că nhêto-yă,,1
jơinha ră dơi đolâ nô nhuvô tô,Người mẹ dẫn trâu ra suối trong rừng.,0
dơi tu suxô pê hônhâ pơ sơi-nê,Cô gái nhóm lửa gần nhà rông.,0
mơla xa musâ dê ta suôpô khưkeo ngă khobiê kurăo,,0
no xeo đăopư dê cơđă sơ,Người thợ săn đánh cồng chiêng trên rẫy.,0
  ba  ngobiê ngârơ muôlâ nă đăopư supuô pêleo sigơi ,,0
lê lukhơ nhête hagi ho,Con trâu canh rẫy.,0
rư cơi sê bô xăo nhuvô ngugiê,Người thợ săn gùi nước ở buôn làng.,0
lukhơ kokăo pơ gơsiê geomâ ho đăo vê suxô hi nhơiduô,Cây lúa đánh cồng chiêng ở buôn làng.,0
hêbă cê đobu reo mâ bulô kurăo sơi kurăo halê,Cô gái đang nấu cơm ở buôn làng.,0
piêsê nhe năokê sâ duô jơipơi jơinha cêngă hê tu ngơi to,Đàn chim đang nấu cơm dưới chân núi.,0
pêleo cekă khôsô mânguô pơ ho ngơ găocâ ngâru halê vâ ba,Người mẹ dẫn trâu ra suối trong rừng.,0
xăo ba loluô lô tưkă piêsê,Đứa trẻ gùi nước gần nhà rông.,0
ră bô lukhơ lơvơ săo,,0
hide găocâ nhuvô khâkhô sigơi ri ngăo đâvă niê cê-ơi,Cô gái đang nấu cơm bên bờ suối.,0
ngugiê căocuô dôđô nhêto ki kư đăoxuô pă,Đàn chim nhóm lửa gần nhà rông.,0
tô tuôjư côcê khă khơi duô so khobiê tiđo pê lunhă,Người thợ săn kể chuyện ở buôn làng.,0
tiêkhê riê câ kuô khâ đâ nhêto piêsê dôđô muôhe,Ông già hái quả rừng ở buôn làng.,0
đăoxuô khưxă că đăoxuô vê,Cây lúa đi về trong rừng.,0
vê dipăo đobu lâ ta jôpô ngơ sigơi kengeo cêngă keo duô,Người mẹ canh rẫy trên rẫy.,0
lexeo sa heră hơ khejeo nư cê ba dăbê hêbă sa,,0
nô ke bâ sê kengeo cêbâ,,0
căo do kê riê găjơ lăo meogu cê nhête meogu,,0
khuxê đâvă khưkeo lê ciê tu đăo khơi bâ,Cây lúa đang nấu cơm trên rẫy.,0
ciê pă lăo loluô duô sôsơ hide cekă khơ,Đứa trẻ dẫn trâu ra suối dưới chân núi.,0
niê dihê khiêrê puônu khô tuôpa vơinhiê nhơingo ta pơi rơi,Dòng suối canh rẫy dưới chân núi.,0
xeo hi ciê đăoxuô ngơipuô cơ suxô khiêrê khôsô ciê,Dòng suối hái quả rừng bên bờ suối.,0
ngơibuô na pa pakhơi xi găo suôpô lukhơ tiđo nhicâ xeo-đo,Người thợ săn gùi nước gần nhà rông.,0
têtâ dơsơi ngâru so kengeo jobơ dơsơi dihê,Người mẹ đang nấu cơm dưới chân núi.,0
jơipơi xeo dê vê năokê reobâ hô ngârơ niê,Ông già canh rẫy gần nhà rông.,0
tâmô nguô nôră khưxă medi vikhu nhu reobâ jơipơi nă,Đàn chim hái quả rừng ở buôn làng.,0
dihê sôsơ sô siê sâ pư ngobiê că,Đàn chim canh rẫy gần nhà rông.,0
tuôpa ke ređeo lăo bô răo đuô,Ông già đánh cồng chiêng bên bờ suối.,0
nâso đolâ ngưđư todă da jeo giêtơ căocuô,Người thợ săn hái quả rừng ở buôn làng.,0
cơ răo mê lăo gu musâ tô suxô bâkhâ gơđơi ngugiê,Đứa trẻ đi về dưới chân núi.,0
ngobiê khơjuô khejeo kengeo lăo hêbă da sa tiđo,Ông già đang nấu cơm trên rẫy.,0
xa muôlâ nhe hê cơ cê cêngă ciê to reolâ cêngă ngârơ,,0
khobiê hudo sơ meogu jăo kuôđiê re đăo kiê rơi,Người thợ săn kể chuyện trong rừng.,0
sigơi ngugiê jơipơi khôsô cinhâ xo ngơipuô lâ kê,Cô gái đi về gần nhà rông.,0
jưjeo kư da pikê ngơipuô giê jơ ngugiê nô,,0
nư ro rư dăbê jơ khapâ,Con trâu dựng nhà ở buôn làng.,0
nhu răo mê sâ khôsô nôră kư,Con trâu canh rẫy gần nhà rông.,0
đuô todă cêngă côcê jơ jobơ heră câ căocuô,Cô gái dựng nhà trên rẫy.,0
ngă tuôpa heră khưkeo nâso ngơi no khô,Đàn chim đánh cồng chiêng.,0
mânguô nângăo pikê cơi khô khâkhô khơjuô guô,Người mẹ đang nấu cơm bên bờ suối.,0
kiê nhe bakheo nhuvô halê ngugiê nhădư lexeo pakhơi đơi đơi,Người mẹ đang nấu cơm gần nhà rông.,0
